Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides Parental_bR1	Peptides Parental_bR2	Peptides Parental_bR3	Peptides Resistant_bR1	Peptides Resistant_bR2	Peptides Resistant_bR3	Razor + unique peptides Parental_bR1	Razor + unique peptides Parental_bR2	Razor + unique peptides Parental_bR3	Razor + unique peptides Resistant_bR1	Razor + unique peptides Resistant_bR2	Razor + unique peptides Resistant_bR3	Unique peptides Parental_bR1	Unique peptides Parental_bR2	Unique peptides Parental_bR3	Unique peptides Resistant_bR1	Unique peptides Resistant_bR2	Unique peptides Resistant_bR3	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Identification type Parental_bR1	Identification type Parental_bR2	Identification type Parental_bR3	Identification type Resistant_bR1	Identification type Resistant_bR2	Identification type Resistant_bR3	Sequence coverage Parental_bR1 [%]	Sequence coverage Parental_bR2 [%]	Sequence coverage Parental_bR3 [%]	Sequence coverage Resistant_bR1 [%]	Sequence coverage Resistant_bR2 [%]	Sequence coverage Resistant_bR3 [%]	Intensity	Intensity Parental_bR1	Intensity Parental_bR2	Intensity Parental_bR3	Intensity Resistant_bR1	Intensity Resistant_bR2	Intensity Resistant_bR3	LFQ intensity Parental_bR1	LFQ intensity Parental_bR2	LFQ intensity Parental_bR3	LFQ intensity Resistant_bR1	LFQ intensity Resistant_bR2	LFQ intensity Resistant_bR3	MS/MS Count Parental_bR1	MS/MS Count Parental_bR2	MS/MS Count Parental_bR3	MS/MS Count Resistant_bR1	MS/MS Count Resistant_bR2	MS/MS Count Resistant_bR3	MS/MS Count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
CON__ENSEMBL:ENSBTAP00000007350;CON__P01030	CON__ENSEMBL:ENSBTAP00000007350;CON__P01030	2;1	2;1	2;1	>ENSEMBL:ENSBTAP00000007350 (Bos taurus) similar to Complement C4-A precursor;>P01030 SWISS-PROT:P01030 (Bos taurus) similar to Complement C4-A precursor	2	2	2	2	0	0	0	2	2	1	0	0	0	2	2	1	0	0	0	2	2	1	2.7	2.7	2.7	192.99	1742	1742;1741	0	By matching	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	0	0	0	2.7	2.7	1.8	17239000	0	0	0	8029300	5091700	4118200	0	0	0	0	7260900	0	0	0	0	0	1	1	2			+	0	1065;1605	True;True	1068;1609	5028;5029;7897;7898;7899	3197;4871;4872	3197;4872		
CON__ENSEMBL:ENSBTAP00000024146;sp|P01023|A2MG_HUMAN	CON__ENSEMBL:ENSBTAP00000024146	9;1	9;1	9;1	>ENSEMBL:ENSBTAP00000024146 (Bos taurus) similar to alpha-2-macroglobulin isoform 1	2	9	9	9	0	0	1	7	9	6	0	0	1	7	9	6	0	0	1	7	9	6	13	13	13	164.34	1477	1477;1474	0	By matching	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	0	0	1.3	10.5	13	9.1	2020200000	0	0	3628100	786150000	770190000	460190000	0	0	0	845410000	1005900000	659170000	0	0	0	7	9	6	22			+	1	2915;3248;3471;3610;3808;4658;5116;7524;7628	True;True;True;True;True;True;True;True;True	2922;3255;3478;3617;3815;4669;5127;7542;7646	14206;14207;14208;14209;14210;14211;14212;16022;16023;16024;17214;17832;17833;17834;18785;18786;18787;23129;25315;25316;25317;25318;25319;25320;36723;36724;36725;37241;37242	8833;8834;8835;10009;10010;10743;11125;11126;11127;11754;14419;15783;15784;15785;15786;15787;15788;23028;23029;23030;23349;23350	8835;10009;10743;11127;11754;14419;15788;23029;23349		
sp|A6NCN2|KR87P_HUMAN;sp|O43790|KRT86_HUMAN;CON__O43790;sp|P78385|KRT83_HUMAN;CON__Q6NT21;CON__P78385;sp|Q14533|KRT81_HUMAN;CON__Q14533;CON__Q61726;sp|P78386|KRT85_HUMAN;CON__P78386	sp|A6NCN2|KR87P_HUMAN;sp|O43790|KRT86_HUMAN;CON__O43790;sp|P78385|KRT83_HUMAN;CON__Q6NT21;CON__P78385;sp|Q14533|KRT81_HUMAN;CON__Q14533;CON__Q61726;sp|P78386|KRT85_HUMAN;CON__P78386	2;2;2;2;2;2;2;2;1;1;1	2;2;2;2;2;2;2;2;1;1;1	2;2;2;2;2;2;2;2;1;1;1	>sp|A6NCN2|KR87P_HUMAN Putative keratin-87 protein OS=Homo sapiens GN=KRT87P PE=5 SV=4;>sp|O43790|KRT86_HUMAN Keratin, type II cuticular Hb6 OS=Homo sapiens GN=KRT86 PE=1 SV=1;>O43790 SWISS-PROT:O43790 Keratin, type II cuticular Hb6 (Hair keratin, type II 	11	2	2	2	1	2	2	0	0	1	1	2	2	0	0	1	1	2	2	0	0	1	11.8	11.8	11.8	29.117	255	255;486;486;493;493;493;505;505;479;507;507	0	By matching	By MS/MS	By MS/MS	By matching	By matching	By matching	3.9	11.8	11.8	0	0	3.9	79720000	17853000	23221000	22731000	0	0	15914000	0	0	19102000	0	0	0	0	1	1	0	0	0	2			+	2	4065;4191	True;True	4073;4199	20171;20172;20173;20174;20748;20749	12598;12599;12946;12947	12598;12947		
CON__P01966	CON__P01966	1	1	1	>P01966 SWISS-PROT:P01966 (Bos taurus) Hemoglobin subunit alpha	1	1	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	10.6	10.6	10.6	15.184	142	142	0.0013689	By matching	By MS/MS	By matching	By matching	By matching	By matching	0	10.6	0	0	0	0	16470000	0	16470000	0	0	0	0	0	13952000	0	0	0	0	0	1	0	0	0	0	1			+	3	7174	True	7191	34998	21926	21926		
sp|Q04695|K1C17_HUMAN;CON__Q04695;CON__Q9QWL7;sp|P02533|K1C14_HUMAN;CON__P02533;CON__Q6IFX2;sp|P19012|K1C15_HUMAN;CON__P19012;sp|P08779|K1C16_HUMAN;CON__P08779;CON__Q61782;sp|Q8N1A0|KT222_HUMAN;CON__Q8N1A0;sp|P35900|K1C20_HUMAN;CON__P35900;CON__Q9D312;CON__Q9Z2K1;CON__Q3ZAW8	sp|Q04695|K1C17_HUMAN;CON__Q04695;CON__Q9QWL7;sp|P02533|K1C14_HUMAN;CON__P02533;CON__Q6IFX2;sp|P19012|K1C15_HUMAN;CON__P19012;sp|P08779|K1C16_HUMAN;CON__P08779	3;3;3;3;3;2;2;2;2;2;1;1;1;1;1;1;1;1	1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0	1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0	>sp|Q04695|K1C17_HUMAN Keratin, type I cytoskeletal 17 OS=Homo sapiens GN=KRT17 PE=1 SV=2;>Q04695 SWISS-PROT:Q04695 Tax_Id=9606 Gene_Symbol=KRT17 Keratin, type I cytoskeletal 17;>Q9QWL7 SWISS-PROT:Q9QWL7 Tax_Id=10090 Gene_Symbol=Krt17 Keratin, type I cytos	18	3	1	1	3	3	1	1	1	1	1	1	0	1	0	0	1	1	0	1	0	0	7.2	3	3	48.105	432	432;432;433;472;472;452;456;456;473;473;93;295;295;424;424;431;469;474	0.001868	By matching	By matching	By matching	By MS/MS	By matching	By matching	7.2	7.2	2.1	3	2.1	2.1	32006000	7954700	7186800	0	16864000	0	0	0	0	0	16864000	0	0	0	0	0	1	0	0	1			+	4	2178;4233;7295	True;False;False	2185;4241;7313	10652;10653;10654;20948;20949;20950;20951;20952;20953;20954;20955;20956;20957;20958;35654;35655;35656;35657	6640;13056;13057;13058;13059;13060;13061;13062;22361	6640;13061;22361		
CON__P02584	CON__P02584	3	2	2	>P02584 SWISS-PROT:P02584 (Bos taurus) Profilin-1	1	3	2	2	1	1	1	3	3	3	0	0	0	2	2	2	0	0	0	2	2	2	28.6	20	20	15.057	140	140	0	By matching	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	8.6	8.6	8.6	28.6	28.6	28.6	191160000	0	0	0	102110000	37541000	51512000	0	0	0	89364000	68494000	67862000	0	0	0	0	1	2	3			+	5	1381;1386;6259	True;False;True	1385;1390;6274	6698;6699;6700;6719;6720;6721;6722;6723;6724;30578;30579;30580	4172;4173;4174;4188;4189;4190;19121;19122	4174;4188;19122		
CON__P02769	CON__P02769	6	6	6	>P02769 SWISS-PROT:P02769 (Bos taurus) Bovine serum albumin precursor	1	6	6	6	5	5	5	3	3	4	5	5	5	3	3	4	5	5	5	3	3	4	11.2	11.2	11.2	69.293	607	607	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	9.2	9.2	9.2	4.9	5.3	7.2	1139400000	168280000	221270000	201810000	64306000	197460000	286320000	110030000	141520000	151490000	132590000	264200000	409380000	1	4	3	1	1	3	13			+	6	203;2245;4413;4909;7762;7829	True;True;True;True;True;True	203;2252;4423;4920;7780;7847	934;935;936;937;938;939;10947;10948;10949;10950;10951;10952;21910;24331;24332;24333;24334;37938;37939;37940;37941;37942;38268;38269;38270	581;582;6815;6816;6817;6818;6819;6820;13661;15189;23814;23815;23816;23817;24009;24010;24011	581;6819;13661;15189;23816;24011		
CON__P02777	CON__P02777	1	1	1	>P02777 SWISS-PROT:P02777 (Bos taurus) similar to Platelet factor 4	1	1	1	1	1	1	1	0	0	1	1	1	1	0	0	1	1	1	1	0	0	1	10.4	10.4	10.4	24.241	230	230	0.0090754	By matching	By matching	By MS/MS	By matching	By matching	By MS/MS	10.4	10.4	10.4	0	0	10.4	68519000	16251000	15696000	18878000	0	0	17693000	0	0	0	0	0	24070000	0	0	1	0	0	1	2			+	7	3118	True	3125	15301;15302;15303;15304	9545;9546	9546		
sp|P04264|K2C1_HUMAN;CON__P04264	sp|P04264|K2C1_HUMAN;CON__P04264	1;1	1;1	1;1	>sp|P04264|K2C1_HUMAN Keratin, type II cytoskeletal 1 OS=Homo sapiens GN=KRT1 PE=1 SV=6;>P04264 SWISS-PROT:P04264 Tax_Id=9606 Gene_Symbol=KRT1 Keratin, type II cytoskeletal 1	2	1	1	1	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	1.7	1.7	1.7	66.038	644	644;644	0.0013784	By matching	By matching	By MS/MS	By matching	By matching	By matching	1.7	1.7	1.7	0	0	0	786780000	344660000	227160000	214960000	0	0	0	0	0	180640000	0	0	0	0	0	1	0	0	0	1			+	8	4083	True	4091	20250;20251;20252	12648	12648		
CON__P05784	CON__P05784	7	1	1	>P05784 SWISS-PROT:P05784 Tax_Id=10090 Gene_Symbol=Krt18 Keratin, type I cytoskeletal 18	1	7	1	1	7	7	7	2	1	1	1	1	1	0	0	0	1	1	1	0	0	0	12.5	4.7	4.7	47.538	423	423	0	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching	12.5	12.5	12.5	2.4	2.1	2.4	405470000	120970000	134910000	149580000	0	0	0	82482000	113120000	128340000	0	0	0	2	2	2	0	0	0	6			+	9	3739;4192;4193;5468;7277;7278;7487	False;False;False;False;False;False;True	3746;4200;4201;5479;7295;7296;7505	18450;18451;18452;20750;20751;20752;20753;20754;20755;20756;20757;20758;20759;26937;26938;26939;26940;26941;26942;26943;26944;26945;35556;35557;35558;35559;35560;35561;35562;35563;35564;35565;35566;35567;36542;36543;36544;36545;36546;36547	11517;11518;11519;12948;12949;12950;12951;12952;12953;16817;16818;16819;16820;16821;16822;22290;22291;22292;22293;22294;22295;22296;22297;22298;22299;22924;22925;22926;22927;22928;22929	11517;12948;12951;16817;22292;22297;22925		
