Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Reporter intensity corrected 0	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity 0	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity count 0	Reporter intensity count 1	Reporter intensity count 2	Reporter intensity count 3	Reporter intensity count 4	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
A0AVT1	A0AVT1	1	1	1	Ubiquitin-like modifier-activating enzyme 6	UBA6		1	1	1	1	1.4	1.4	1.4	117.97	1052	1052	0.00055804	7.7269	3736.6	7654.9	16886	39643	41685	3749.3	8116.4	16784	37287	40044	1	1	1	1	1	5903500	1				0	6759	True	6764	8217	8809	8809		
A6NDG6	A6NDG6	3	3	3	Phosphoglycolate phosphatase	PGP		1	3	3	3	11.8	11.8	11.8	34.006	321	321	0	19.846	12904	35532	72153	179850	192990	13153	37578	71858	169210	185060	3	3	3	3	3	29679000	3				1	10;4350;7156	True;True;True	10;4341;7162	12;5311;8704	12;5684;9336	12;5684;9336		
A6NGW2;Q7RTU9	A6NGW2;Q7RTU9	1;1	1;1	1;1	Putative stereocilin-like protein;Stereocilin	STRCP1;STRC	;	2	1	1	1	0.4	0.4	0.4	192.43	1772	1772;1775	1	-2	20284	46819	90710	217150	224650	20339	49053	90190	204510	215790	1	1	1	1	1	17098000	1	+			2	146	True	143	178	194	194	0	1507
Q6ZT77;P52743;O75840;Q96N95;P57682;Q9H4T2;Q15973;Q9UJN7;Q9Y4X4;Q6U7Q0;Q8N859;Q8IZC7;Q8N8L2;Q9UC06;Q13887;Q96H40;Q96BR6;Q13360;A6NP11;Q15937;O95780;O75346;Q9HBT8;P0CG31;Q7Z3I7;C9JN71;Q6ZMS4;Q14584;Q9UC07;P36508;Q8NDW4;Q86XU0;Q96RE9;Q9NPC7;P16415;Q7Z7L9;Q96MX3;Q9H7R0;O14628;A6NHJ4;P17025;Q8N972;Q32M78;P17017;Q8N184;O95125;Q2M218;P15621;Q86YE8;Q9Y2A4;Q8N7K0;O14978;Q6ZMW2;Q8N8J6;Q99676;Q9P0L1;Q9HBT7;Q86WZ6;P51814;Q9P2J8;Q9UEG4;P17040;O75362	Q6ZT77;P52743;O75840;Q96N95;P57682;Q9H4T2;Q15973;Q9UJN7;Q9Y4X4;Q6U7Q0;Q8N859;Q8IZC7;Q8N8L2;Q9UC06;Q13887;Q96H40;Q96BR6;Q13360;A6NP11;Q15937;O95780;O75346;Q9HBT8;P0CG31;Q7Z3I7;C9JN71;Q6ZMS4;Q14584;Q9UC07;P36508;Q8NDW4;Q86XU0;Q96RE9;Q9NPC7;P16415;Q7Z7L9;Q96MX3;Q9H7R0;O14628;A6NHJ4;P17025;Q8N972;Q32M78;P17017;Q8N184;O95125;Q2M218;P15621;Q86YE8;Q9Y2A4;Q8N7K0;O14978;Q6ZMW2;Q8N8J6;Q99676;Q9P0L1;Q9HBT7;Q86WZ6;P51814;Q9P2J8;Q9UEG4;P17040;O75362	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	Putative zinc finger protein 826;Putative zinc finger protein 137;Krueppel-like factor 7;Zinc finger protein 396;Krueppel-like factor 3;Zinc finger and SCAN domain-containing protein 16;Zinc finger protein 124;Zinc finger protein 391;Krueppel-like factor 12;Zinc finger protein 322;Zinc finger protein 713;Zinc finger protein 101;Zinc finger protein 491;Zinc finger protein 70;Krueppel-like factor 5;Zinc finger protein 486;Zinc finger protein 669;Zinc finger protein 177;Zinc finger protein 716;Zinc finger protein 79;Zinc finger protein 682;Zinc finger protein 253;Zinc finger protein 286A;Putative zinc finger protein 286B;Zinc finger protein 572;Zinc finger protein 878;Zinc finger protein 852;Zinc finger protein 266;Zinc finger protein 69;Zinc finger protein 76;Zinc finger protein 248;Zinc finger protein 677;Zinc finger protein 300;Myoneurin;Zinc finger protein 823;Zinc finger and SCAN domain-containing protein 2;Zinc finger protein 48;Zinc finger protein 442;Zinc finger protein 195;Zinc finger protein 860;Zinc finger protein 182;Zinc finger protein 709;Zinc finger protein 699;Zinc finger protein 14;Zinc finger protein 567;Zinc finger protein 202;Zinc finger protein 630;Zinc finger protein 44;Zinc finger protein 573;Zinc finger protein 443;Zinc finger protein 433;Zinc finger protein 263;Zinc finger protein 782;Zinc finger protein 615;Zinc finger protein 184;Zinc finger protein with KRAB and SCAN domains 7;Zinc finger protein 287;Zinc finger protein 227;Zinc finger protein 41;Zinc finger protein 624;Zinc finger protein 629;Zinc finger and SCAN domain-containing protein 20;Zinc finger protein 217	ZNF826P;ZNF137P;KLF7;ZNF396;KLF3;ZSCAN16;ZNF124;ZNF391;KLF12;ZNF322;ZNF713;ZNF101;ZNF491;ZNF70;KLF5;ZNF486;ZNF669;ZNF177;ZNF716;ZNF79;ZNF682;ZNF253;ZNF286A;ZNF286B;ZNF572;ZNF878;ZNF852;ZNF266;ZNF69;ZNF76;ZNF248;ZNF677;ZNF300;MYNN;ZNF823;ZSCAN2;ZNF48;ZNF442;ZNF195;ZNF860;ZNF182;ZNF709;ZNF699;ZNF14;ZNF567;ZNF202;ZNF630;ZNF44;ZNF573;ZNF443;ZNF433;ZNF263;ZNF782;ZNF615;ZNF184;ZKSCAN7;ZNF287;ZNF227;ZNF41;ZNF624;ZNF629;ZSCAN20;ZNF217	;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;	63	1	1	1	5.1	5.1	5.1	20.58	177	177;207;302;335;345;348;351;358;402;402;430;436;437;446;457;463;464;481;495;498;498;499;521;522;529;531;543;549;566;570;579;584;604;610;610;614;618;627;629;632;639;641;642;642;647;648;657;663;665;671;673;683;699;731;751;754;754;799;821;865;869;1043;1048	0.0060947	5.8728	5659.3	10193	20867	68310	89355	5608.7	11169	21619	64091	84984	1	1	1	1	1	9986700	1				3	10924	True	10931	13175	14095	14095		
A6NHR9	A6NHR9	2	2	2	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	SMCHD1		1	2	2	2	0.9	0.9	0.9	226.37	2005	2005	0	12.47	14483	34579	76478	169740	181090	14696	36447	75706	159750	174140	2	2	2	2	2	13995000	2				4	4325;4664	True;True	4316;4658	5284;5696	5654;6100	5654;6100		
P61513;A6NKH3	P61513;A6NKH3	2;2	2;2	2;2	60S ribosomal protein L37a;Putative 60S ribosomal protein L37a-like protein	RPL37A;RPL37AP8	;	2	2	2	2	16.3	16.3	16.3	10.275	92	92;93	0.00060205	10.773	22352	51871	88601	289010	334340	22244	55472	90722	271630	318570	2	2	2	2	2	70289000	2				5	7519;12811	True;True	7527;12825	9148;15505	9795;16566	9795;16566		
P62308;A8MWD9	P62308;A8MWD9	3;3	3;3	3;3	Small nuclear ribonucleoprotein G;Putative small nuclear ribonucleoprotein G-like protein 15	SNRPG;SNRPGP15	;	2	3	3	3	26.3	26.3	26.3	8.496	76	76;76	0	22.753	18624	46572	100160	217820	216130	18925	48836	98671	205120	208320	5	5	5	5	5	87770000	6				6	669;670;4826	True;True;True	653;654;4820	816;817;5894;5895	894;895;896;897;6307;6308	895;897;6308		
Q99613;B5ME19	Q99613;B5ME19	12;12	12;12	12;12	Eukaryotic translation initiation factor 3 subunit C;Eukaryotic translation initiation factor 3 subunit C-like protein	EIF3C;EIF3CL	;	2	12	12	12	15	15	15	105.34	913	913;914	0	93.587	104280	254970	473780	1339000	1409400	104670	270770	476060	1259200	1348500	11	11	11	11	11	249440000	12				7	1674;2877;3089;4205;4524;8298;8451;9382;9963;10148;10743;12371	True;True;True;True;True;True;True;True;True;True;True;True	1656;2862;3075;4196;4517;8307;8458;9394;9972;10158;10750;12382	2048;3496;3753;5133;5528;10076;10246;11335;12008;12245;12956;14948	2216;3776;4043;5496;5919;10755;10935;12112;12850;13106;13866;15972	2216;3776;4043;5496;5919;10755;10935;12112;12850;13106;13866;15972		
B7ZAP0	B7ZAP0	2	2	2	Rab GTPase-activating protein 1-like, isoform 10	RABGAP1L		1	2	2	2	4	4	4	29.038	253	253	0	11.66	24845	55218	106140	298490	333560	24838	58838	107120	280620	318810	2	2	2	2	2	41470000	2				8	6782;9201	True;True	6787;9213	8240;11132	8834;11891	8834;11891		
CON__P00735;P00734	CON__P00735	4;1	4;1	4;1				2	4	4	4	6.2	6.2	6.2	70.505	625	625;622	0	35.51	26312	66348	121560	387490	436830	26441	71368	123740	364010	416550	5	5	5	5	5	88309000	5			+	9	6089;6090;7627;9579	True;True;True;True	6091;6092;7635;9591	7445;7446;9272;11573	7980;7981;9925;9926;12370	7980;7981;9925;12370		
